F2P	Version
8>q	Platform
6f=	PlayerStateData
yhJ	UniverseAddress
Iis	RealityIndex
oZw	GalacticAddress
dZj	VoxelX
IyE	VoxelY
uXE	VoxelZ
vby	SolarSystemIndex
jsv	PlanetIndex
;l5	Inventory
:No	Slots
Vn8	Type
elv	InventoryType
b2n	Id
1o9	Amount
F9q	MaxAmount
eVk	DamageFactor
3ZH	Index
>Qh	X
XJ>	Y
hl?	ValidSlotIndices
B@N	Class
1o6	InventoryClass
0H2	SubstanceMaxStorageMultiplier
cTY	ProductMaxStorageMultiplier
@bB	BaseStatValues
MMm	SpecialSlots
=Tb	Width
N9>	Height
iF:	IsCool
PMT	Inventory_TechOnly
gan	Inventory_Cargo
6<E	ShipInventory
Kgt	WeaponInventory
QL1	BaseStatID
>MX	Value
4eu	GraveInventory
BGQ	SpawnGrave
;JQ	SpaceGrave
NFm	GraveUniverseAddress
4ia	GravePosition
gIh	GraveMatrixLookAt
YJU	GraveMatrixUp
rj2	ShipLayout
xbM	WeaponLayout
oJJ	CurrentShip
<d2	ProceduralTexture
bnT	Samplers
e6e	CurrentWeapon
93M	Filename
@EL	Seed
QlJ	AltId
9;o	Level
NNR	GenerationSeed
4kj	KnownTech
eZ<	KnownProducts
24<	KnownSpecials
Ddk	KnownRefinerRecipes
:JX	KnownWords
9wn	Word
D;o	Races
dwb	MissionProgress
p0c	Mission
tW6	Progress
8?J	Data
eZ7	Participants
5L6	UA
5bU	BuildingSeed
M?f	ParticipantType
wMC	Position
?eS	PostMissionIndex
;R7	CurrentMissionID
k?G	CurrentMissionSeed
Mg<	PreviousMissionID
rej	PreviousMissionSeed
yq:	MissionVersion
EQt	MissionRecurrences
jGk	MissionID
oF@	RecurrenceDeadline
cmA	HoloExplorerInteraction
<>B	HoloScepticInteraction
:=:	HoloNooneInteraction
fSZ	Health
KCM	ShipHealth
kLc	Shield
NE3	ShipShield
dcK	Energy
wGS	Units
7QL	Nanites
kN;	Specials
cid	ThirdPersonShip
i8O	TimeAlive
Lg8	TotalPlayTime
A1f	MarkerStack
9@i	Table
FN5	Event
TWn	BuildingLocation
iqv	BuildingClass
ADw	Time
1JW	MissionSeed
i;<	NewMPMarkerStack
gUR	Stats
:rc	GroupId
2Ak	Address
>vs	IntValue
eoL	FloatValue
m4I	TelemetryStats
a6j	StoredInteractions
O49	Interactions
RQA	MaintenanceInteractions
=yU	InventoryContainer
wx7	LastUpdateTimestamp
4>;	DamageTimers
XV5	Flags
VhC	PersonalMaintenanceInteractions
nwS	VisitedSystems
seg	Hazard
9Lm	BoltAmmo
VPy	ScatterAmmo
:ML	PulseAmmo
cO>	LaserAmmo
